2025-10-25 16:26:26.048524 - T:27.5, H:91.7, C:1545.0, L:35.0
2025-10-25 16:26:30.408701 - T:27.5, H:91.7, C:1546.0, L:35.0
2025-10-25 16:26:35.542415 - T:27.5, H:91.8, C:1545.0, L:35.0
2025-10-25 16:26:40.392149 - T:27.5, H:91.8, C:1544.0, L:36.0
2025-10-25 16:26:44.289612 - T:27.5, H:91.8, C:1546.0, L:35.0
2025-10-25 16:26:48.907550 - T:27.5, H:91.8, C:1546.0, L:35.0
2025-10-25 16:27:04.985754 - T:27.5, H:91.9, C:1543.0, L:35.0
2025-10-25 16:27:14.886231 - T:27.5, H:91.9, C:1544.0, L:35.0
2025-10-25 16:27:24.920491 - T:27.5, H:91.9, C:1542.0, L:36.0
2025-10-25 16:27:35.340930 - T:27.5, H:91.9, C:1544.0, L:35.0
2025-10-25 16:27:45.024819 - T:27.5, H:91.9, C:1543.0, L:35.0
2025-10-25 16:27:57.385309 - T:27.5, H:91.9, C:1543.0, L:34.0
2025-10-25 16:28:04.922200 - T:27.5, H:91.9, C:1541.0, L:34.0
2025-10-25 16:28:14.955488 - T:27.5, H:91.9, C:1542.0, L:34.0
2025-10-25 16:28:25.009732 - T:27.5, H:91.9, C:1541.0, L:34.0
2025-10-25 16:28:34.872115 - T:27.5, H:91.9, C:1542.0, L:35.0
2025-10-25 16:28:44.881870 - T:27.5, H:91.9, C:1449.0, L:29.0
2025-10-25 16:28:54.867734 - T:27.5, H:92.0, C:1449.0, L:29.0
2025-10-25 16:29:05.025589 - T:27.5, H:92.0, C:1471.0, L:30.0
2025-10-25 16:29:18.744351 - T:27.5, H:92.0, C:1472.0, L:30.0
2025-10-25 16:29:25.094530 - T:27.5, H:92.0, C:1475.0, L:32.0
2025-10-25 16:29:35.077417 - T:27.5, H:92.0, C:1481.0, L:32.0
2025-10-25 16:29:45.073110 - T:27.5, H:91.9, C:1481.0, L:32.0
2025-10-25 16:29:55.246042 - T:27.5, H:92.0, C:1479.0, L:31.0
2025-10-25 16:30:04.945133 - T:27.4, H:92.0, C:1480.0, L:31.0
2025-10-25 16:30:15.061313 - T:27.5, H:92.0, C:1480.0, L:31.0
2025-10-25 16:30:25.111253 - T:27.5, H:92.0, C:1480.0, L:31.0
2025-10-25 16:30:35.049490 - T:27.5, H:92.0, C:1480.0, L:32.0
2025-10-25 16:30:44.981314 - T:27.5, H:92.0, C:1480.0, L:31.0
2025-10-25 16:30:54.964635 - T:27.5, H:91.9, C:1481.0, L:32.0
2025-10-25 16:31:04.945417 - T:27.5, H:92.0, C:1481.0, L:31.0
